module_id,module_name,tag,sfia_level
DATA_L2_01,Data Literacy Fundamentals,DATA,2
DATA_L2_02,Introduction to Programming for Data,DATA,2
DATA_L2_03,Basic Statistics for Data Analysis,DATA,2
DATA_L2_04,Data Types Formats and Sources,DATA,2
DATA_L2_05,Spreadsheet and Simple Data Analysis,DATA,2
DATA_L3_01,Data Analysis with Python or R,DATA,3
DATA_L3_02,SQL for Data Analysis,DATA,3
DATA_L3_03,Data Cleaning and Preprocessing,DATA,3
DATA_L3_04,Exploratory Data Analysis,DATA,3
DATA_L3_05,Introductory Machine Learning Concepts,DATA,3
DATA_L4_01,Applied Machine Learning Models,DATA,4
DATA_L4_02,Feature Engineering Techniques,DATA,4
DATA_L4_03,Data Engineering Pipelines Batch,DATA,4
DATA_L4_04,Data Visualization and Storytelling,DATA,4
DATA_L4_05,Model Evaluation and Validation,DATA,4
DATA_L5_01,Scalable Data Pipelines and ETL,DATA,5
DATA_L5_02,Advanced Machine Learning Algorithms,DATA,5
DATA_L5_03,Model Deployment and Monitoring,DATA,5
DATA_L5_04,Data Governance and Ethics,DATA,5
DATA_L5_05,Analytics for Business Decision Making,DATA,5
DATA_L6_01,Data Platform Architecture,DATA,6
DATA_L6_02,AI Strategy and Roadmap Design,DATA,6
DATA_L6_03,Large Scale Data Systems Optimization,DATA,6
DATA_L6_04,Responsible AI and Risk Management,DATA,6
DATA_L7_01,Enterprise Data and AI Strategy,DATA,7
DATA_L7_02,Organization Wide Data Transformation,DATA,7
DATA_L7_03,AI Governance and Policy Design,DATA,7
DEVO_L2_01,Introduction to DevOps Concepts,DEVO,2
DEVO_L2_02,Version Control Basics,DEVO,2
DEVO_L2_03,Command Line Fundamentals,DEVO,2
DEVO_L3_01,CICD Fundamentals,DEVO,3
DEVO_L3_02,Infrastructure Basics,DEVO,3
DEVO_L3_03,Container Fundamentals,DEVO,3
DEVO_L3_04,Monitoring and Logging Basics,DEVO,3
DEVO_L4_01,CICD Pipeline Design,DEVO,4
DEVO_L4_02,Infrastructure as Code,DEVO,4
DEVO_L4_03,Container Orchestration Basics,DEVO,4
DEVO_L4_04,DevOps Security Foundations,DEVO,4
DEVO_L5_01,Advanced CICD Automation,DEVO,5
DEVO_L5_02,Cloud Native DevOps Practices,DEVO,5
DEVO_L5_03,Reliability Engineering Basics,DEVO,5
DEVO_L5_04,DevSecOps Implementation,DEVO,5
DEVO_L6_01,DevOps Architecture Design,DEVO,6
DEVO_L6_02,Platform Engineering,DEVO,6
DEVO_L6_03,Large Scale Reliability Strategy,DEVO,6
