Tags,Category,Subcategory,Skill,Code,Levels,,,,,,,What it covers
"CYBR_01, DATA_10",Strategy and architecture,Strategy and planning,Strategic planning,ITSP,,,,4,5,6,7,Long term technical direction
DATA_09,Strategy and architecture,Strategy and planning,Information system coordination,ISCO,,,,,,6,7,Coordinate enterprise system
"CYBR_13, DATA_05",Strategy and architecture,Strategy and planning,Information management,IRMG,,,3,4,5,6,7,Info lifecycle & policy
"CYBR_06, DATA_04",Strategy and architecture,Strategy and planning,Enterprise and business architecture,STPL,,,,,5,6,7,"Org-wide architecture, align data with strategy"
"CYBR_07, CLOU_02, DATA_19, SOFT_28, DEVO_26",Strategy and architecture,Strategy and planning,Solution architecture,ARCH,,,,4,5,6,,"End-to-end system design, platform architecture, cloud architecture/design"
DATA_33,Strategy and architecture,Strategy and planning,Innovation management,INOV,,,,,5,6,7,Data innovation innitiatives
,Strategy and architecture,Strategy and planning,Emerging technology monitoring,EMRG,,,,4,5,6,,
CYBR_19,Strategy and architecture,Strategy and planning,Formal research,RSCH,,2,3,4,5,6,,Experimental & exploratory work
,Strategy and architecture,Strategy and planning,Sustainability,SUST,,,,4,5,6,,
SOFT_48,Strategy and architecture,Financial and value management,Financial management,FMIT,,,,4,5,6,,
SOFT_38,Strategy and architecture,Financial and value management,Investment appraisal,INVA,,,,4,5,6,,
SOFT_40,Strategy and architecture,Financial and value management,Benefits management,BENM,,,3,4,5,6,,
,Strategy and architecture,Financial and value management,Budgeting and forecasting,BUDF,,2,3,4,5,6,,
,Strategy and architecture,Financial and value management,Financial analysis,FIAN,,2,3,4,5,6,,
CLOU_11,Strategy and architecture,Financial and value management,Cost management,COMG,,2,3,4,5,6,,Cost optimization & budgeting
CYBR_03,Strategy and architecture,Financial and value management,Demang management,DEMM,,,,4,5,6,,
"CYBR_16, DATA_41, SOFT_14, DEVO_07",Strategy and architecture,Financial and value management,Measurement,MEAS,,2,3,4,5,6,,"KPIs, DORA metrics, engineering metrics"
"CYBR_02, DATA_48, DEVO_33",Strategy and architecture,Security and privacy,Information security,SCTY,,2,3,4,5,6,7,Secure coding & systems
"CYBR_14, DATA_49",Strategy and architecture,Security and privacy,Information assurance,INAS,,2,3,4,5,6,7,"Data security, assurance & compliance"
"CYBR_12, DATA_07",Strategy and architecture,Security and privacy,Information and data compliance,PEDP,,,,4,5,6,,Privacy & data laws
CYBR_20,Strategy and architecture,Security and privacy,Vulnerability research,VURE,,2,3,4,5,6,,
CYBR_21,Strategy and architecture,Security and privacy,Threat intelligence,THIN,,2,3,4,5,6,,Threat analysis
"CYBR_09, DATA_01, SOFT_45",Strategy and architecture,"Governance, risk, and compliance",Governance,GOVN,,,,,,6,7,Data governance across org
"CYBR_10, DATA_02, DEVO_02",Strategy and architecture,"Governance, risk, and compliance",Risk management,BURM,,2,3,4,5,6,7,"Technical and deliver risks, data risk & compliance"
DATA_03,Strategy and architecture,"Governance, risk, and compliance",Artificial intelligence and data ethics,AIDE,,,3,4,5,6,,"AI systems & strategy, ethical AI, bias, fairness"
"CYBR_11, DATA_53",Strategy and architecture,"Governance, risk, and compliance",Audit,AUDT,,2,3,4,5,6,7,Data audits & compliance
"CYBR_15, DATA_46",Strategy and architecture,"Governance, risk, and compliance",Quality management,QUMG,,2,3,4,5,6,7,Engineering quality standards
"DATA_47, SOFT_13",Strategy and architecture,"Governance, risk, and compliance",Qualit assurance,QUAS,,2,3,4,5,6,,Standards & quality systems
CYBR_17,Strategy and architecture,Advice and guidance,Consultancy,CNSL,,,,4,5,6,7,
CYBR_18,Strategy and architecture,Advice and guidance,Specialist advice,TECH,,,,4,5,6,,Guding technical teams
"DATA_36, SOFT_07, DEVO_23",Strategy and architecture,Advice and guidance,Methods and tools,METL,,2,3,4,5,6,,"Agile, CI/CD, DevOps toolchains, data tooling, practices"
SOFT_37,Change and transformation,Change implementation,Portfolio management,POMG,,,,,5,6,7,
"CYBR_22, SOFT_39",Change and transformation,Change implementation,Programme management,PGMG,,,,,,6,7,Data pipelines & apps
"CYBR_23, SOFT_19",Change and transformation,Change implementation,Project management,PRMG,,,,4,5,6,7,"Planning & coordination, scope, time, cost"
,Change and transformation,Change implementation,"Portfolio, programme and project support",PROF,,2,3,4,5,6,,
CYBR_24,Change and transformation,Change implementation,Delivery management,DEMG,,,3,4,5,6,,
"DATA_28, SOFT_23",Change and transformation,Change analysis,Business situation analysis,BUSA,,2,3,4,5,6,,"Translating needs into solution, data requirements"
